,listing_id,num_rooms,square_meters,renovation,ceiling_height,garbage_chute,house_size,flat_floor,type_of_building,price_per_month,deposit,utility_bills,rental_period,prepayment,metro,balcony_count,loggia_count,combined_bathroom_count,separated_bathroom_count,windows_street,windows_yard,kids_allowded,pets_allowded,is_dishwasher,is_internet,is_air_conditioner,is_bathtub,is_shower,is_tv,is_furniture_in_kitchen,is_washing_machine,is_furniture_in_rooms,is_fridge,is_phone,passenger_elevator_capacity,cargo_elevator_capacity,square_meters_rounded,parking_mult_lev,roof_parking,ground_parking,parking_unknown,parking_open,undergr_parking
192,274177400,1.0,40.0,3,2.64,1,22,9,0.3552198874087286,30000.0,30000.0,0.0,0,1.0,0.0022852683796889804,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,3,0,40.0,0,0,0,1,0,0
193,273379337,1.0,38.0,3,2.64,1,17,16,0.3552198874087286,30000.0,30000.0,0.0,0,1.0,0.0006131207847946045,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,2,1,40.0,0,0,1,0,0,0
194,274164058,1.0,38.0,3,2.64,0,14,3,0.13204392174349255,32000.0,32000.0,0.0,0,1.0,0.0006131207847946045,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,40.0,0,0,0,1,0,0
195,273764363,1.0,42.4,3,2.64,1,15,7,0.3552198874087286,32000.0,32000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,2,0,40.0,0,0,0,1,0,0
196,274173656,1.0,44.7,3,2.64,0,14,10,0.13204392174349255,35000.0,35000.0,0.0,0,1.0,0.0006131207847946045,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,45.0,0,0,1,0,0,0
197,274063411,2.0,58.0,3,2.64,1,22,6,0.3552198874087286,36000.0,36000.0,0.0,0,1.0,0.0022852683796889804,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,1,60.0,0,0,1,0,0,0
198,236543080,1.0,36.0,2,2.64,0,9,3,0.13204392174349255,38000.0,38000.0,0.0,0,1.0,0.0087509057466139,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,35.0,0,0,0,1,0,0
199,256888072,1.0,42.0,2,2.75,1,17,12,0.3552198874087286,38000.0,19000.0,0.0,0,1.0,0.0022295301265258345,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,2,1,40.0,0,0,1,0,0,0
200,271083068,1.0,41.2,2,2.64,0,15,13,0.13204392174349255,40000.0,40000.0,0.0,0,0.0,0.0022295301265258345,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1,40.0,0,0,0,1,0,0
201,274622371,2.0,64.0,3,2.74,1,14,7,0.3552198874087286,40000.0,20000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,2,0,65.0,0,0,0,1,0,0
202,274917579,2.0,55.0,2,2.64,0,14,4,0.17852962488155621,40000.0,40000.0,0.0,0,0.0,0.0006131207847946045,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,55.0,0,0,1,0,0,0
203,274922675,1.0,35.0,2,2.64,1,19,14,0.17852962488155621,40000.0,40000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,2,1,35.0,0,0,1,0,0,0
204,274482454,2.0,63.8,3,2.64,1,14,4,0.3552198874087286,40000.0,40000.0,0.0,0,1.0,0.0006131207847946045,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,2,0,65.0,0,0,1,0,0,0
205,274099537,2.0,67.0,2,2.64,1,17,5,0.17852962488155621,43000.0,43000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,2,0,65.0,0,0,0,1,0,0
206,167911714,1.0,38.8,1,2.64,1,17,16,0.3552198874087286,45000.0,45000.0,0.0,0,1.0,0.017446073240064655,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,40.0,0,0,1,0,0,0
207,274632558,3.0,56.0,3,2.64,1,12,10,0.3552198874087286,45000.0,45000.0,0.0,0,1.0,0.0087509057466139,0,2,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,2,0,55.0,0,0,0,1,0,0
208,273080406,3.0,75.0,2,2.64,1,14,6,0.13204392174349255,45000.0,45000.0,0.0,0,1.0,0.0006131207847946045,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,75.0,0,0,1,0,0,0
209,273202959,2.0,55.0,2,3.0,1,14,6,0.3552198874087286,47000.0,47000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,55.0,0,0,1,0,0,0
210,270816267,3.0,82.0,2,2.64,1,17,4,0.3552198874087286,65000.0,65000.0,0.0,0,1.0,0.0022295301265258345,0,2,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,2,0,80.0,0,0,0,1,0,0
211,274580039,2.0,70.0,1,2.64,0,3,3,0.13204392174349255,70000.0,70000.0,0.0,0,1.0,0.0087509057466139,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,70.0,0,0,0,1,0,0
212,274945662,1.0,40.0,3,2.75,1,22,5,0.3552198874087286,26000.0,26000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,40.0,0,0,0,1,0,0
213,228335421,1.0,31.0,2,2.64,1,8,6,0.13204392174349255,27000.0,27000.0,0.0,0,1.0,0.0087509057466139,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,2,0,30.0,0,0,1,0,0,0
214,256834307,1.0,35.0,2,2.64,1,18,7,0.13204392174349255,29000.0,29000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,35.0,0,0,1,0,0,0
215,274687179,1.0,27.0,2,2.64,0,11,5,0.17852962488155621,30000.0,30000.0,0.0,0,1.0,0.0022295301265258345,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,25.0,0,0,0,1,0,0
216,230487451,1.0,40.0,3,2.74,1,14,8,0.3552198874087286,30000.0,10000.0,0.0,0,1.0,0.0087509057466139,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,40.0,0,0,0,1,0,0
217,170068347,1.0,41.0,2,2.64,1,15,5,0.19240844991917952,30000.0,30000.0,0.0,0,1.0,0.017446073240064655,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,2,2,40.0,0,0,1,0,0,0
218,273476724,1.0,32.0,3,2.64,0,9,4,0.13204392174349255,30000.0,30000.0,0.0,0,1.0,0.019396912100774762,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,30.0,0,0,0,1,0,0
219,242234098,1.0,45.0,3,2.64,1,17,2,0.17852962488155621,30000.0,30000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,45.0,0,0,0,1,0,0
221,274831384,1.0,42.0,3,2.7,1,14,7,0.17852962488155621,33000.0,33000.0,0.0,0,1.0,0.0006131207847946045,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,2,1,40.0,0,0,1,0,0,0
222,274091308,1.0,39.0,2,3.0,1,17,12,0.3552198874087286,33500.0,33500.0,0.0,0,1.0,0.0022295301265258345,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,2,0,40.0,0,0,0,1,0,0
223,262355297,1.0,38.5,3,2.75,1,22,7,0.3552198874087286,34000.0,34000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,3,0,40.0,0,0,0,1,0,0
224,273815149,1.0,46.0,1,2.8,1,10,10,0.13204392174349255,38000.0,38000.0,0.0,0,1.0,0.0087509057466139,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,2,1,45.0,0,0,0,0,0,1
225,274259730,1.0,34.0,1,2.64,1,15,9,0.19240844991917952,40000.0,40000.0,0.0,0,1.0,0.0087509057466139,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,2,0,35.0,0,0,1,0,0,0
226,272275267,1.0,44.0,3,2.64,1,15,8,0.19240844991917952,40000.0,40000.0,0.0,0,1.0,0.0022295301265258345,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,45.0,0,0,0,1,0,0
227,273151859,1.0,38.0,3,3.0,1,14,11,0.3552198874087286,40000.0,40000.0,0.0,0,1.0,0.0022295301265258345,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,40.0,0,0,1,0,0,0
229,270525077,1.0,29.0,3,2.64,0,11,10,0.17852962488155621,45000.0,45000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,30.0,0,0,0,1,0,0
230,262081183,2.0,57.0,2,2.64,1,22,13,0.3552198874087286,47000.0,47000.0,0.0,0,1.0,0.0022852683796889804,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,3,0,55.0,0,0,0,1,0,0
234,274393865,3.0,87.0,2,2.64,1,17,14,0.17852962488155621,80000.0,40000.0,0.0,0,1.0,0.0022295301265258345,1,1,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85.0,0,0,1,0,0,0
235,269265022,3.0,84.0,1,2.64,0,16,6,0.13204392174349255,90000.0,90000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,85.0,0,0,1,0,0,0
237,263724076,3.0,84.0,1,2.8,0,16,6,0.17852962488155621,95000.0,95000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,85.0,0,0,0,0,0,1
238,274689762,3.0,96.0,2,2.7,1,17,5,0.3552198874087286,100000.0,100000.0,0.0,0,1.0,0.0022295301265258345,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,2,1,95.0,0,0,1,0,0,0
239,251618576,2.0,60.0,2,2.75,1,22,14,0.3552198874087286,46000.0,40000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,60.0,0,0,0,0,0,1
240,186299640,1.0,38.0,3,3.0,1,17,3,0.3552198874087286,32000.0,32000.0,0.0,0,1.0,0.017446073240064655,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,40.0,0,0,0,1,0,0
242,238230007,1.0,43.0,2,2.64,0,16,4,0.17852962488155621,38000.0,38000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,45.0,0,0,0,1,0,0
243,273672956,1.0,26.0,2,2.64,0,3,3,0.13204392174349255,23000.0,23000.0,0.0,1,1.0,0.0087509057466139,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,25.0,0,0,0,1,0,0
245,256518254,1.0,38.0,2,2.74,1,17,8,0.040633186555933336,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,2,1,40.0,0,0,1,0,0,0
246,265357607,1.0,30.5,3,3.2,0,3,1,0.19240844991917952,35000.0,30000.0,0.0,0,1.0,0.0087509057466139,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,30.0,0,0,1,0,0,0
247,245971204,1.0,38.5,3,2.64,1,22,7,0.3552198874087286,35000.0,35000.0,0.0,0,1.0,0.0022295301265258345,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,2,1,40.0,0,0,0,1,0,0
248,274344079,2.0,50.0,2,3.0,1,14,1,0.17852962488155621,38000.0,38000.0,0.0,0,1.0,0.0087509057466139,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,2,0,50.0,0,0,1,0,0,0
249,274267929,2.0,52.0,3,2.74,1,14,10,0.3552198874087286,42000.0,42000.0,0.0,0,1.0,0.0087509057466139,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,50.0,0,0,0,1,0,0
250,273318241,1.0,40.0,2,2.48,1,8,2,0.17852962488155621,43000.0,43000.0,0.0,0,1.0,0.0022295301265258345,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,40.0,0,0,1,0,0,0
